DS,GN,Latitude,Longitude
Colombo,Sammanthranapura,6.9789432,79.8779834
Kolonnawa,Halmulla ,6.9534897,79.8954802
Kolonnawa,Ambathale,6.9412026,79.940256
Kolonnawa,Dahampura,6.8016629,79.8779834
Moratuwa,Dahampura,6.8016629,79.8779834
Kolonnawa,Malgama,6.9312269,79.9381577
Kolonnawa,Maligagodella,6.9274925,79.9493483
Kolonnawa,Rajasinghagama,6.920196,79.9486489
Kolonnawa,Udumulla South,6.9180472,79.9409555
Kolonnawa,Elhena,6.9213644,79.9101748
Kolonnawa,Dodamgahahena,6.9187765,79.9129735
Kaduwela,Kaduwela,6.929061,79.9827754
Kaduwela,Kothalawala,6.9194938,79.9780178
Kaduwela,Thalahena North,6.912431,79.9570411
Kaduwela,Malabe North,6.9139619,79.9668308
Kaduwela,Pore,6.8878446,79.9836108
Kaduwela,Malabe East,6.9034905,79.9724245
Kaduwela,Thalahena South,6.9122534,79.9486489
Kaduwela,Muttettugoda,6.9068404,79.9430537
Kaduwela,Kalapaluwawa,6.9141883,79.9150724
Kaduwela,Hokandara North,6.8929026,79.9724245
Kaduwela,Hokandara East,6.877024,79.9724245
Kaduwela,Kumaragewatta,6.885066,79.9358798
Kaduwela,Wickramasinghapura,6.8809624,79.9395566
Maharagama,Madiwela,6.8773153,79.9234678
Maharagama,Thalawathugoda West,6.8709078,79.9332613
Maharagama,Thalawathugoda East,6.8742177,79.9435917
Maharagama,Liyanagoda,6.8595625,79.9598383
Maharagama,Kottawa North,6.8614731,79.9563417
Maharagama,Polwatta,6.8617962,79.940256
Maharagama,Pamunuwa,6.8589743,79.9318623
Maharagama,Thalapathpitiya,6.8693785,79.9234678
Maharagama,Pragathipura,6.8764912,79.9157721
Maharagama,Pannipitiya North,6.8453976,79.9465508
Maharagama,Wijerama,6.8551817,79.9087754
Thimbirigasyaya,Kirulapone,6.8814717,79.8763476
Thimbirigasyaya,Wellawatta North,6.8786556,79.8618833
Thimbirigasyaya,Wellawatta South,6.8654301,79.8618833
Thimbirigasyaya,Pamankada West,6.8734246,79.8646835
Thimbirigasyaya,Pamankada East,6.8763077,79.8758835
Dehiwala,Sri Saranankara,6.8688699,79.8681837
Dehiwala,Vilawala,6.8709577,79.8730837
Dehiwala,Dutugemunu,6.8684907,79.881483
Dehiwala,Kalubovila,6.8580211,79.8765701
Dehiwala,Hathbodhiya,6.866517,79.8686086
Dehiwala,Galwala,6.860965,79.8695837
Dehiwala,Dehiwala West,6.857496,79.8618833
Dehiwala,Dehiwala East,6.8582907,79.8681837
Dehiwala,Udyanaya,6.855148,79.8758835
Dehiwala,Nedimala,6.8552665,79.881483
Dehiwala,Malwatta,6.8523851,79.8702837
Dehiwala,Jayathilaka,6.8516203,79.8653836
Dehiwala,Karagampitiya,6.847802,79.8723837
Dehiwala,Kawdana East,6.8446891,79.881483
Ratmalana,Mount Lavinia,6.8195453,79.8800832
Ratmalana,Kawdana West,6.8451283,79.8709837
Ratmalana,Watarappala,6.8388036,79.8704443
Ratmalana,Wathumulla,6.8312336,79.8702837
Ratmalana,Katukurunduwatta,6.832703,79.8772834
Ratmalana,Attidiya North,6.8368753,79.8870821
Ratmalana,Attidiya South,6.8261828,79.881483
Ratmalana,Piriwena,6.8268704,79.8705901
Ratmalana,Wedikanda,6.8258287,79.8646835
Ratmalana,Vihara,6.8179585,79.8674837
Ratmalana,Kandawala,6.8223652,79.8884819
Moratuwa,Angulana North,6.8028664,79.8723837
Moratuwa,Kaldemulla,6.8056265,79.8779834
Moratuwa,Thelawala South,6.804599,79.8919811
Moratuwa,Lakshapathiya North,6.7998133,79.8842826
Moratuwa,Lakshapathiya Central,6.7950574,79.8779834
Moratuwa,Angulana South,6.7976114,79.8737836
Moratuwa,Katubedda,6.8014572,79.8996789
Kesbewa,Divulpitiya West,6.8502141,79.8926809
Kesbewa,Bellanvila,6.8481569,79.8891817
Kesbewa,Boralesgamuwa West A,6.8390204,79.8947804
Kesbewa,Boralesgamuwa West C,6.8430161,79.89618
Kesbewa,Rattanapitiya,6.8477468,79.9010784
Kesbewa,Egodawatta,6.8505093,79.9066763
Kesbewa,Boralesgamuwa East A,6.8425172,79.9038774
Kesbewa,Boralesgamuwa East B,6.8400498,79.9122738
